Date,AXISBANK,AXISVOL,BAJAJFIN,BAJAJFINVOL,BOB,BOBVOL,FEDBANK,FEDVOL,HDFC,HDFCVOL,INDUSIND,INDUSINDVOL,ICICI,ICICIVOL,KOTAK,KOTAKVOL,PNB,PNBVOL,SBI,SBIVOL,REC,RECVOL,PIRAMAL,PIRAMALVOL
02-01-2009,108.379997,14261265,6.31042,141738,57.34,1700495,16.889999,1359910,101.565002,10468520,41.400002,1242496,85.681816,35547693,97.900002,6258884,106.43,2973855,133.184998,24161650,29.5875,9574565,134.700485,222908
05-01-2009,112.019997,9165605,6.504736,1120575,58.860001,2687100,17.129999,4379460,104.410004,10059080,46.049999,2557753,90.890907,47221850,99.637497,5956956,107.160004,3037185,136.080002,26931910,30.5625,8844514,136.025497,14449
06-01-2009,113.949997,12893855,6.660189,312830,57.75,3162520,16.76,1930260,110.040001,18289930,43.599998,934935,95.172729,77633649,96.712502,9015300,106.089996,4110100,132.285004,35970960,29.831249,1078005,133.516418,102783
07-01-2009,104.419998,10571555,6.150109,166223,54.939999,5602350,16.459999,2251090,100.925003,37782380,38.099998,614052,85.063637,105540446,90.762497,6482408,97.660004,6538860,124.004997,37268580,28.424999,5624090,131.853104,24863
09-01-2009,97.32,25173105,6.048093,95905,54.689999,1806325,16.004999,4046570,101.75,21413570,37.5,284476,83.018181,69633965,86.125,5076276,97.129997,3834090,122.110001,24996510,28.81875,6157634,129.654144,301873
12-01-2009,90.339996,22546950,5.89264,51503,50.98,6415650,15.265,1801680,100.370003,18056570,36.25,204373,79.63636,44924852,82.175003,4032180,94.68,3369980,115.889999,40927670,28.518749,388373,123.705673,120237
13-01-2009,88.059998,15257915,5.805197,44895,50.290001,6724775,14.83,559200,98.885002,12528110,36,215246,77.354546,54667167,80.8125,6972540,94.489998,3071710,117.489998,22844560,29.00625,5144487,121.140221,54052
14-01-2009,89.879997,12034855,5.931503,38195,50.009998,6197685,14.35,1797830,97.754997,28325170,38.400002,217367,80.199997,34610862,84.375,3299124,95.389999,2421175,119.690002,17225460,29.625,1993247,124.382278,381158
15-01-2009,86.809998,11930135,5.80034,529044,47.650002,6712145,14.275,2855680,92.480003,29247490,37.450001,1238428,74.300003,53331811,76.324997,6821208,88.769997,8321510,114.724998,18848400,29.30625,1870194,122.493423,22256
16-01-2009,88.709999,9286470,5.810055,651443,48.150002,8218095,15.575,27231620,93.754997,7808800,38.049999,449667,77.045456,27522192,78.974998,4461508,91.080002,2346000,116.415001,16210980,29.475,307231,123.987595,25257
19-01-2009,87.660004,7942585,5.824629,302002,48.209999,4088725,15.735,8051720,94.110001,10148450,37.549999,121665,75.018181,33113448,77.987503,3590992,91.209999,1502330,114.639999,21402920,29.25,154463,124.354088,91216
20-01-2009,84.480003,6111545,5.742045,374482,48.330002,3780275,15.32,1358530,91.245003,8011110,37.25,148391,72.054543,38247627,76.087502,3077984,88.129997,3494310,111.290001,18013440,30.3375,2033983,123.677483,3642
21-01-2009,81.540001,10361190,5.717755,142715,48,3757760,14.73,2937490,88.945,19760400,35.900002,115417,67.154549,65552135,73.375,4836608,86.199997,5452225,108.120003,23453440,29.043751,1051925,124.015785,674036
22-01-2009,83.209999,8445315,5.878066,114771,47.98,1940695,13.955,5031580,90.050003,16299600,34.799999,325825,68.736366,52442098,69.224998,7493340,85.449997,4261210,109.029999,23947180,28.387501,2108202,120.971069,39935
23-01-2009,76.860001,14467735,5.737187,262407,46.470001,7040830,14.05,4514040,87.245003,15929700,32.849998,228276,66.154549,59087578,64.037498,13151240,81.32,5403815,104.150002,43595270,28.125,326861,121.027451,25312
27-01-2009,78.949997,8791605,5.630313,1639337,48.91,3739580,14.05,3046020,88.945,12274930,32.849998,336674,69.290909,54170220,65,7661848,78.760002,15673100,108.764999,38194150,28.5,5613599,120.942879,136511
28-01-2009,84.57,26017380,5.727471,147820,48.790001,3899315,14.15,1283580,91.175003,13174590,32.950001,232904,74.19091,64874133,68.8125,7456352,79.110001,8385360,111.245003,34353520,29.25,5841674,120.632767,70956
29-01-2009,87.129997,15203530,5.912071,68455,50.91,13183745,13.67,5060640,92.345001,23436980,32.700001,350569,74.563637,50054675,70.037498,8654368,78,14428745,109.925003,35923120,29.643749,523114,120.068932,10341
30-01-2009,86.739998,10647140,5.722613,90728,50.330002,5302060,14.035,2783590,92.559998,7484510,33.349998,406233,75.681816,49557788,70.9375,3816720,80.120003,14851485,115.099998,28335200,30.0375,915309,120.181694,25127
02-02-2009,79.57,10987800,5.59145,50422,49.32,1802500,14.245,4853310,88.870003,13079720,32.700001,206802,70.018181,37213555,68.587502,3541700,78.220001,11013730,109.580002,25800050,31.1625,2512114,119.78701,486873
03-02-2009,79.099998,10959425,5.625455,206055,48.830002,2430930,14.15,3254880,89.82,11480200,31.75,277428,71.272728,39336797,68.162498,5656924,79.550003,5056330,109.230003,28290850,31.950001,2891855,118.433807,7140
04-02-2009,79.029999,9570105,5.586592,33440,49.209999,2803075,14.185,2832780,88.584999,37993560,32.150002,176083,70.854546,34417658,68.237503,5751340,80.190002,3139425,109.68,19596770,32.568748,4107687,117.221558,25950
05-02-2009,78.459999,10099535,5.625455,134842,49.139999,1725975,13.895,2858120,88.425003,10773010,32.200001,173771,71.009087,27861163,65.237503,3660268,79.330002,2771750,109.474998,16521600,31.4625,490789,114.571526,27951
06-02-2009,80.599998,8293960,5.455428,44391,49.43,1601875,14.215,1992480,89.839996,11709830,33.049999,252496,74.018181,31579878,66.487503,2761596,79.870003,2190200,111.860001,13306740,31.81875,391626,108.876778,2073649
09-02-2009,84.489998,12410810,5.756618,86827,50.110001,2411130,14.545,2971970,91.945,10290560,34.349998,1349743,77.881821,37356082,68.349998,3792732,80.949997,4639825,114.754997,15696460,31.93125,239999,108.961357,4181816
10-02-2009,84.199997,11356660,5.513723,98097,49.950001,2043005,14.43,7883940,94.699997,8321990,34.349998,285788,77.945457,42544012,70.237503,5730060,81.779999,6243100,116.410004,18732300,31.59375,200551,107.157082,1306804
11-02-2009,86.190002,13429835,5.572018,17250,48.970001,2783925,14.345,1091080,93.449997,9321390,35.049999,211307,79.127274,42223995,68.925003,4030152,81.300003,3492650,115.889999,16529950,31.40625,786589,103.717674,455593
12-02-2009,86.099998,12343235,5.601165,502943,48.599998,2712515,14.22,795530,93.385002,7140320,34.849998,248230,76.618179,37600090,68.199997,3908480,80.489998,2801365,115.919998,19717850,31.125,551063,113.359276,2038943
13-02-2009,88.080002,8345915,5.824629,110067,49.450001,3052425,14.52,3195550,94.415001,7607900,34.450001,175355,78.981819,35459479,70.074997,3143860,81.709999,2707125,119.589996,23079310,31.35,609834,113.500237,349784
16-02-2009,83.760002,9084555,5.596307,68599,47.240002,4059425,13.99,1603910,91.394997,13997680,33.299999,107605,74.363632,37995474,66.724998,3247092,78.25,5079655,113.684998,26650050,30.525,387871,103.379379,361624
17-02-2009,79.830002,13144880,5.766334,5805536,45.040001,5156150,13.25,1953180,88.029999,17182670,32.150002,206694,70.127274,61759934,65.0625,3532144,73.82,5785970,109.879997,25742350,29.6625,526733,102.138939,289034
18-02-2009,78.849998,11209755,5.654602,197091,45.669998,3551345,13.39,2126590,87.639999,7830490,31.799999,133822,67.181816,72897044,64.050003,3804972,72.860001,8245055,107.089996,21865720,30.168751,459101,97.741013,264177
19-02-2009,77.690002,10887215,5.547728,62763,46.34,3437765,13.59,957330,88.455002,8960790,31.450001,235222,65.727272,64103545,63.099998,3147288,74.959999,4241145,105.870003,28702260,29.831249,340285,97.064407,441264
20-02-2009,74.540001,10274755,5.533155,93877,44.900002,3535145,13.27,1352680,86.650002,9997450,31.299999,186551,61.063637,69459280,61.162498,3614416,72.529999,8680745,104.404999,24872000,29.418751,257114,97.769203,302325
24-02-2009,72.730003,12938465,5.538013,51956,43.16,7580880,12.94,1013270,85.449997,7685210,30.65,184933,61.081818,85533811,62.424999,3946732,69.309998,8273760,102.779999,23881530,29.0625,477853,97.120796,99959
25-02-2009,73.209999,11110095,5.411707,46748,43.380001,6237015,12.565,1509610,86.43,10926310,30.799999,219645,61.927273,59641318,63.325001,3645288,68.279999,4704870,103.660004,21451430,30.018749,978562,100.729347,188146
26-02-2009,69.260002,16328155,5.353412,24074,42.470001,9240785,12.145,3125530,87.480003,32437620,30.049999,418478,59.063637,94804248,62.775002,4838964,64.839996,13282990,102.305,25935300,29.924999,2511557,117.55986,4809300
27-02-2009,69.580002,15414885,5.601165,52965,44.02,6415090,12.42,1661970,88.949997,13551940,30.200001,148530,59.554546,98277729,64.862503,4475456,67.519997,16823045,102.529999,31330010,29.53125,647178,117.390709,2502378
02-03-2009,64.620003,16340390,5.348554,32081,43.400002,3900535,11.96,1057910,84.57,18569110,28.6,113862,55.345455,66244871,61.512501,2393548,65.040001,5245335,99.449997,29765340,29.15625,652109,114.740677,1072887
03-03-2009,64.980003,22533445,5.188243,9252,41.540001,4985870,11.805,1865540,83.150002,16714920,28.549999,123072,53.745453,134327787,59.400002,7171320,62.470001,6992090,97.434998,29948750,28.74375,236973,112.682678,226519
04-03-2009,64.43,19491745,5.081369,59037,40.830002,3148775,12.08,1075630,83.900002,17119990,28.1,77827,51.799999,139103426,58.487499,7425584,61.209999,10790370,95.695,32641740,28.9125,209261,111.442238,193013
05-03-2009,60.139999,25961390,4.96478,8995,39.110001,7681755,11.945,1910830,80.139999,24224790,27.4,118511,49.099998,143672595,54.099998,15977964,58.41,13872075,93.434998,39906360,29.1,991458,113.838539,372113
06-03-2009,58.990002,43328785,4.945348,50772,38.48,4493055,11.93,1481740,80.18,23708540,28.450001,339419,48.936363,277252228,56.712502,20125924,62.18,18669860,94.110001,34055320,30.393749,1427999,103.886826,515598
09-03-2009,56.279999,18064455,4.634442,61291,36.709999,5085710,12.33,9296560,79.875,17589460,28.049999,134981,47.809093,107028086,55.762501,8387252,60.84,11411465,89.529999,30241710,29.5875,1456183,108.256561,496500
12-03-2009,60.900002,26269915,4.867622,58770,38.330002,4112655,11.8,2826860,79.864998,28705440,28.9,161158,51.663635,150544240,57.8125,6534876,63.27,7199595,91.125,28733960,30.28125,3478229,101.969788,1010397
13-03-2009,65.980003,21907730,4.959922,23363,40.75,4442840,11.98,2053490,83.425003,45726300,29.75,138568,56.118179,143489280,60.9375,6894944,67.269997,12758290,95.305,27138500,31.125,650117,105.409187,407554
16-03-2009,68.510002,29074100,4.959922,196967,41.279999,4363895,11.97,2206140,84.485001,27255110,30.1,136774,58.69091,122101166,62.525002,7761604,68.43,10979050,98.705002,26738790,33.075001,1213509,107.410805,492485
17-03-2009,65.099998,25643115,5.299975,76751,39.740002,3601850,11.98,5033070,82.815002,20923510,30.25,349863,58.799999,175129680,62.724998,7834684,65.639999,11240870,95.004997,31748750,34.162498,2573927,102.900116,109888
18-03-2009,68.139999,24488485,5.227107,311245,41.560001,6283810,13.105,14128340,84.300003,18910410,30.700001,173510,60.845455,90873145,64.212502,6315448,68.019997,14416465,96.029999,33178570,33.900002,1658007,106.84697,266838
19-03-2009,71.599998,28018705,5.56716,112250,41.720001,4070950,13,6706040,83.239998,24426110,30.6,102255,61.436363,118935839,67.324997,14542160,68.529999,9113935,96.870003,36346870,34.668751,2250653,105.606529,27312
20-03-2009,68.480003,24455430,5.717755,73982,40.779999,4358220,13.265,1296450,83.93,20286070,30.299999,108048,58.736362,81416263,64.262497,5523656,66.519997,3791230,95.470001,25116640,34.518749,1429743,104.563431,1482345
23-03-2009,74.730003,24043910,6.864221,489130,44.779999,8399225,13.58,1057220,88.5,20449730,31.25,152317,63.054546,95384740,68.112503,5889520,72.309998,12573420,102.355003,41955060,35.15625,960287,106.790588,99534
24-03-2009,74.389999,30446405,7.068253,1505566,45.5,11201125,13.16,3587970,94.169998,37700540,30.700001,674879,64.627274,125109600,67.137497,9998488,73.379997,15485140,103.224998,49523400,35.400002,2054861,100.757538,143020
25-03-2009,79.620003,32500610,7.296575,346826,45.09,6922380,13.295,4080930,97.214996,17909000,31.15,237526,66.463638,116137670,69.412498,7082624,79.620003,14265445,104.995003,44390960,36.037498,1494298,100.334663,442701
26-03-2009,84.279999,38050440,6.606752,176979,47.060001,12453085,13.42,2579340,99.339996,23156420,33.349998,808814,68.19091,102413245,73.650002,8427880,82.870003,30902915,109.550003,61469300,35.268749,1456517,97.571861,406185
